1	10000	177376	+	1	10000	177376	+
1	227417	267719	+	1	257666	297968	+
1	521368	1566067	+	1	585988	1630687	+
1	1566068	1569784	+	1	1630689	1634405	+
1	1569784	1570918	+	1	1634408	1635542	+
1	1570922	1574299	+	1	1635560	1638937	+
1	1574299	1581557	+	1	1638938	1646196	+
1	1581558	1581585	+	1	1646197	1646224	+
1	1581586	1582861	+	1	1646225	1647500	+
1	1584541	1585256	+	1	1653095	1653810	+
1	1585257	1585309	+	1	1653811	1653863	+
1	1585317	1585387	+	1	1653863	1653933	+
1	1585388	1585596	+	1	1653934	1654142	+
1	1585597	1585641	+	1	1654143	1654187	+
1	1585642	1587314	+	1	1654188	1655860	+
1	1587315	1587340	+	1	1655861	1655886	+
1	1587340	1589330	+	1	1655890	1657880	+
1	1589331	1589375	+	1	1657881	1657925	+
1	1589376	1589609	+	1	1657926	1658159	+
1	1589620	1590525	+	1	1658159	1659064	+
1	1590526	1590574	+	1	1659065	1659113	+
1	1590575	1591868	+	1	1659114	1660407	+
1	1591869	1591894	+	1	1660408	1660433	+
1	1591895	1594199	+	1	1660434	1662738	+
1	1594199	1594840	+	1	1662739	1663380	+
1	1594841	1595855	+	1	1663402	1664416	+
1	1595867	2634220	+	1	1664428	2702781	+
1	2684220	2686936	+	1	2767673	2770389	+
1	2686937	2692476	+	1	2770391	2775930	+
1	2692487	2694234	+	1	2775941	2777688	+
1	2694235	2695319	+	1	2777688	2778772	+
1	2695319	2699051	+	1	2778776	2782508	+
1	2699053	2701506	+	1	2782508	2784961	+
1	2701516	2701546	+	1	2784961	2784991	+
1	2701556	2886954	+	1	2784991	2970389	+
1	2886954	3845268	+	1	2970390	3928704	+
1	3995268	3996592	+	1	3935209	3936533	+
1	3996593	7426777	+	1	3936533	7366717	+
1	7426778	7442597	+	1	7366717	7382536	+
1	7442597	8564508	+	1	7382537	8504448	+
1	8564508	9602218	+	1	8504449	9542159	+
1	9602218	10446921	+	1	9542160	10386863	+
1	10446921	12417992	+	1	10386864	12357935	+
1	12417992	12424007	+	1	12357936	12363951	+
1	12424007	12436430	+	1	12363952	12376375	+
1	12436431	12436470	+	1	12376376	12376415	+
1	12436471	12437875	+	1	12376416	12377820	+
1	12437875	12441969	+	1	12377821	12381915	+
1	12441974	12452604	+	1	12381915	12392545	+
1	12452604	12456051	+	1	12392549	12395996	+
1	12456053	12461017	+	1	12395996	12400960	+
1	12461017	12487295	+	1	12400964	12427242	+
1	12487298	12516692	+	1	12427242	12456636	+
1	12516692	12548724	+	1	12456637	12488669	+
1	12548724	12570579	+	1	12488670	12510525	+
1	12570579	12577649	+	1	12510527	12517597	+
1	12577649	12582410	+	1	12517605	12522366	+
1	12582410	12590964	+	1	12522368	12530922	+
1	12590964	12591331	+	1	12530923	12531290	+
1	12591331	12592281	+	1	12531291	12532241	+
1	12592294	12592375	+	1	12532254	12532335	+
1	12592375	12594242	+	1	12532336	12534203	+
1	12594243	12594301	+	1	12534204	12534262	+
1	12594302	12594548	+	1	12534263	12534509	+
1	12594548	12594886	+	1	12534510	12534848	+
1	12594886	12596731	+	1	12534862	12536707	+
1	12596735	12596945	+	1	12536707	12536917	+
1	12596947	12599115	+	1	12536917	12539085	+
1	12599131	12604994	+	1	12539105	12544968	+
1	12605011	12605953	+	1	12544985	12545927	+
1	12605961	12606360	+	1	12545927	12546326	+
1	12606361	12606393	+	1	12546327	12546359	+
1	12606394	12606961	+	1	12546360	12546927	+
1	12606962	12606996	+	1	12546928	12546962	+
1	12606997	12608691	+	1	12546963	12548657	+
1	12608691	12610227	+	1	12548661	12550197	+
1	12610227	12610399	+	1	12550198	12550370	+
1	12610399	12611407	+	1	12550371	12551379	+
1	12611407	12611561	+	1	12551380	12551534	+
1	12611564	12620646	+	1	12551534	12560616	+
1	12620646	12629107	+	1	12560617	12569078	+
1	12629108	12629177	+	1	12569079	12569148	+
1	12629178	12629244	+	1	12569149	12569215	+
1	12629265	12629326	+	1	12569233	12569294	+
1	12629326	12636311	+	1	12569298	12576283	+
1	12636312	12636360	+	1	12576284	12576332	+
1	12636361	12642902	+	1	12576333	12582874	+
1	12642907	12643449	+	1	12582875	12583417	+
1	12643449	12643521	+	1	12583421	12583493	+
1	12643521	12643614	+	1	12583497	12583590	+
1	12643614	12644985	+	1	12583594	12584965	+
1	12644985	12646845	+	1	12584969	12586829	+
1	12646849	12647743	+	1	12586829	12587723	+
1	12647743	12648257	+	1	12587728	12588242	+
1	12648257	12649403	+	1	12588245	12589391	+
1	12649404	12658045	+	1	12589391	12598032	+
1	12658046	12658063	+	1	12598033	12598050	+
1	12658064	12658404	+	1	12598051	12598391	+
1	12658404	12662182	+	1	12598392	12602170	+
1	12662182	12665083	+	1	12602177	12605078	+
1	12665084	12666142	+	1	12605078	12606136	+
1	12666142	12666315	+	1	12606138	12606311	+
1	12666316	12674707	+	1	12606311	12614702	+
1	12674707	12676838	+	1	12614703	12616834	+
1	12676839	12677525	+	1	12616834	12617520	+
1	12677526	12677794	+	1	12617520	12617788	+
1	12677794	12677864	+	1	12617789	12617859	+
1	12677865	12693641	+	1	12617859	12633635	+
1	12693641	12698833	+	1	12633636	12638828	+
1	12698849	12703469	+	1	12638828	12643448	+
1	12703469	12718127	+	1	12643450	12658108	+
1	12718127	12741255	+	1	12658116	12681244	+
1	12741255	12746212	+	1	12681245	12686202	+
1	12746213	12746247	+	1	12686202	12686236	+
1	12746248	12746594	+	1	12686237	12686583	+
1	12746595	12747595	+	1	12686583	12687583	+
1	12747597	12750772	+	1	12687583	12690758	+
1	12750774	12753821	+	1	12690758	12693805	+
1	12753827	12754568	+	1	12693805	12694546	+
1	12754569	12754599	+	1	12694547	12694577	+
1	12754600	12756882	+	1	12694578	12696860	+
1	12756883	12756904	+	1	12696861	12696882	+
1	12756905	12762179	+	1	12696883	12702157	+
1	12762179	12762216	+	1	12702178	12702215	+
1	12762217	12762465	+	1	12702216	12702464	+
1	12762466	12771200	+	1	12702464	12711198	+
1	12771201	12771279	+	1	12711199	12711277	+
1	12771280	12771517	+	1	12711278	12711515	+
1	12771523	12775813	+	1	12711520	12715810	+
1	12775814	12775850	+	1	12715811	12715847	+
1	12775851	12778344	+	1	12715848	12718341	+
1	12778345	12778362	+	1	12718342	12718359	+
1	12778362	12782342	+	1	12718360	12722340	+
1	12782342	12783124	+	1	12722350	12723132	+
1	12783125	12783166	+	1	12723133	12723174	+
1	12783167	12783780	+	1	12723175	12723788	+
1	12783781	12783867	+	1	12723788	12723874	+
1	12783867	12784046	+	1	12723900	12724079	+
1	12784047	12786416	+	1	12724080	12726449	+
1	12786417	12786443	+	1	12726450	12726476	+
1	12786444	12790631	+	1	12726477	12730664	+
1	12790632	12790658	+	1	12730665	12730691	+
1	12790658	12790715	+	1	12730692	12730749	+
1	12790717	12793209	+	1	12730751	12733243	+
1	12793209	12796297	+	1	12733246	12736334	+
1	12796297	12796658	+	1	12736338	12736699	+
1	12796658	12796789	+	1	12736700	12736831	+
1	12796804	12798037	+	1	12736846	12738079	+
1	12798038	12798705	+	1	12738079	12738746	+
1	12798706	12798738	+	1	12738747	12738779	+
1	12798739	12799025	+	1	12738780	12739066	+
1	12799025	12800674	+	1	12739068	12740717	+
1	12800675	12800857	+	1	12740717	12740899	+
1	12800857	12801505	+	1	12740903	12741551	+
1	12801505	12801586	+	1	12741552	12741633	+
1	12801586	12802846	+	1	12741637	12742897	+
1	12802854	12803241	+	1	12742905	12743292	+
1	12803241	12803524	+	1	12743293	12743576	+
1	12803525	12803556	+	1	12743577	12743608	+
1	12803557	12804788	+	1	12743609	12744840	+
1	12804789	12804809	+	1	12744841	12744861	+
1	12804811	12812503	+	1	12744863	12752555	+
1	12812504	12815353	+	1	12752555	12755404	+
